When,Profile,Dept,CardNum
18/5/2020 7:20,2,NA,1001
19/5/2020 7:16,2,NA,1001
20/5/2020 7:18,2,NA,1001
18/5/2020 10:04,1,NA,1101
19/5/2020 10:11,1,NA,1101
20/5/2020 8:19,1,NA,1101
21/5/2020 9:34,1,NA,1101
21/5/2020 8:44,1,NA,1801
18/5/2020 8:24,1,NA,2701
19/5/2020 7:48,1,NA,2701
20/5/2020 7:41,1,NA,2701
22/5/2020 7:50,1,NA,2701
23/5/2020 8:28,1,NA,2701
20/5/2020 9:49,2,NA,4601
23/5/2020 7:48,2,NA,4601
23/5/2020 8:39,2,NA,4701
23/5/2020 9:17,2,NA,5101
18/5/2020 7:11,1,NA,5201
19/5/2020 7:17,1,NA,5201
20/5/2020 7:17,1,NA,5201
21/5/2020 7:09,1,NA,5201
22/5/2020 7:11,1,NA,5201
23/5/2020 9:17,2,NA,5301
18/5/2020 8:30,1,NA,6101
19/5/2020 8:48,1,NA,6101
20/5/2020 9:16,1,NA,6101
21/5/2020 8:40,1,NA,6101
22/5/2020 8:34,1,NA,6101
18/5/2020 8:00,1,NA,7501
19/5/2020 8:07,1,NA,7501
20/5/2020 9:13,1,NA,7501
21/5/2020 8:40,1,NA,7501
22/5/2020 8:18,1,NA,7501
23/5/2020 9:03,1,NA,7501
23/5/2020 7:10,1,NA,8601
18/5/2020 7:04,1,NA,13301
19/5/2020 7:12,1,NA,13301
21/5/2020 7:00,1,NA,13301
22/5/2020 7:00,1,NA,13301
22/5/2020 8:12,0,Dept 18,14602
18/5/2020 9:52,1,NA,15301
19/5/2020 9:54,1,NA,15301
22/5/2020 9:58,1,NA,15301
21/5/2020 9:53,1,NA,15301
21/5/2020 8:23,0,Dept 5,21003
18/5/2020 8:23,0,Dept 5,21003
22/5/2020 8:29,0,Dept 5,21003
19/5/2020 8:09,0,Dept 5,21003
20/5/2020 8:13,0,Dept 5,21003
18/5/2020 7:09,1,NA,21701
19/5/2020 7:00,1,NA,21701
22/5/2020 7:07,1,NA,21701
18/5/2020 8:54,1,NA,21901
19/5/2020 8:49,1,NA,21901
20/5/2020 8:44,1,NA,21901
21/5/2020 8:40,1,NA,21901
22/5/2020 8:50,1,NA,21901
23/5/2020 8:24,1,NA,21901
20/5/2020 9:14,1,NA,22301
23/5/2020 7:27,1,NA,22301
18/5/2020 7:46,1,NA,22601
19/5/2020 7:44,1,NA,22601
20/5/2020 7:02,1,NA,22601
21/5/2020 7:52,1,NA,22601
22/5/2020 7:04,1,NA,22601
18/5/2020 8:07,1,NA,22801
19/5/2020 8:11,1,NA,22801
20/5/2020 8:02,1,NA,22801
21/5/2020 8:02,1,NA,22801
22/5/2020 8:07,1,NA,22801
18/5/2020 8:28,1,NA,23601
19/5/2020 8:27,1,NA,23601
20/5/2020 8:28,1,NA,23601
21/5/2020 8:33,1,NA,23601
18/5/2020 7:31,1,NA,26701
19/5/2020 7:26,1,NA,26701
20/5/2020 7:27,1,NA,26701
21/5/2020 7:23,1,NA,26701
22/5/2020 7:34,1,NA,26701
19/5/2020 7:38,1,NA,27301
20/5/2020 8:13,1,NA,27301
21/5/2020 7:56,1,NA,27301
22/5/2020 8:16,1,NA,27301
23/5/2020 7:51,1,NA,27301
19/5/2020 8:14,1,NA,27701
18/5/2020 7:04,1,NA,28801
19/5/2020 7:04,1,NA,28801
20/5/2020 7:18,1,NA,28801
21/5/2020 7:17,1,NA,28801
22/5/2020 7:16,1,NA,28801
23/5/2020 7:26,1,NA,28801
19/5/2020 9:19,1,NA,28901
20/5/2020 7:01,1,NA,28901
21/5/2020 9:38,1,NA,28901
18/5/2020 8:14,1,NA,29101
19/5/2020 8:11,1,NA,29101
20/5/2020 8:17,1,NA,29101
21/5/2020 8:14,1,NA,29101
22/5/2020 8:12,1,NA,29101
22/5/2020 7:56,0,Dept 5,29202
24/5/2020 7:57,0,Dept 5,29202
18/5/2020 8:06,0,Dept 5,29202
20/5/2020 8:06,0,Dept 5,29202
18/5/2020 7:02,1,NA,29701
19/5/2020 7:02,1,NA,29701
20/5/2020 7:12,1,NA,29701
21/5/2020 7:06,1,NA,29701
23/5/2020 7:03,1,NA,29701
22/5/2020 7:06,1,NA,29701
22/5/2020 9:34,1,NA,30201
18/5/2020 9:57,1,NA,30201
19/5/2020 9:43,1,NA,30201
20/5/2020 9:43,1,NA,30201
21/5/2020 10:21,1,NA,30201
18/5/2020 8:54,1,NA,30801
19/5/2020 8:55,1,NA,30801
20/5/2020 8:51,1,NA,30801
21/5/2020 8:58,1,NA,30801
22/5/2020 8:56,1,NA,30801
18/5/2020 10:30,1,NA,31101
22/5/2020 9:57,1,NA,31401
18/5/2020 8:58,1,NA,31401
19/5/2020 9:14,1,NA,31401
20/5/2020 9:16,1,NA,31401
21/5/2020 9:46,1,NA,31401
18/5/2020 9:43,1,NA,32301
19/5/2020 9:30,1,NA,32301
20/5/2020 9:36,1,NA,32301
22/5/2020 9:31,1,NA,32301
19/5/2020 9:28,1,NA,32601
21/5/2020 8:51,1,NA,33401
22/5/2020 8:45,1,NA,33401
19/5/2020 10:02,1,NA,34001
20/5/2020 10:02,1,NA,34001
21/5/2020 10:08,1,NA,34001
23/5/2020 10:10,1,NA,34001
18/5/2020 9:12,1,NA,34101
19/5/2020 9:12,1,NA,34101
20/5/2020 9:11,1,NA,34101
21/5/2020 9:10,1,NA,34101
22/5/2020 9:10,1,NA,34101
19/5/2020 10:06,1,NA,35601
22/5/2020 9:58,1,NA,35601
18/5/2020 7:58,1,NA,36501
19/5/2020 8:04,1,NA,36501
20/5/2020 8:01,1,NA,36501
21/5/2020 8:02,1,NA,36501
22/5/2020 7:42,1,NA,36501
18/5/2020 8:30,1,NA,37101
20/5/2020 8:44,1,NA,37101
21/5/2020 8:47,1,NA,37101
22/5/2020 8:39,1,NA,37101
18/5/2020 7:06,1,NA,38801
19/5/2020 7:01,1,NA,38801
20/5/2020 7:07,1,NA,38801
21/5/2020 7:05,1,NA,38801
22/5/2020 7:06,1,NA,38801
23/5/2020 7:08,1,NA,38801
18/5/2020 9:10,1,NA,39001
19/5/2020 9:12,1,NA,39001
20/5/2020 9:17,1,NA,39001
21/5/2020 9:08,1,NA,39001
22/5/2020 9:15,1,NA,39001
18/5/2020 9:12,0,Dept 11,39802
21/5/2020 7:09,0,Dept 5,42117
20/5/2020 7:09,0,Dept 5,42117
22/5/2020 7:10,0,Dept 5,42117
19/5/2020 7:10,0,Dept 5,42117
18/5/2020 8:31,0,Dept 5,42117
19/5/2020 7:31,0,Dept 18,42403
20/5/2020 7:44,0,Dept 18,42403
21/5/2020 7:43,0,Dept 18,42403
18/5/2020 7:29,0,Dept 18,42403
21/5/2020 8:55,0,Dept 18,51602
18/5/2020 7:56,0,Dept 18,53903
19/5/2020 8:33,0,Dept 18,90001
18/5/2020 8:30,0,Dept 5,95902
22/5/2020 8:27,0,Dept 5,95902
21/5/2020 8:38,0,Dept 5,95902
20/5/2020 8:13,0,Dept 5,95902
19/5/2020 8:27,0,Dept 5,95902
20/5/2020 9:09,0,Dept 5,97104
22/5/2020 10:02,0,Dept 11,119102
19/5/2020 9:50,0,Dept 11,119102
20/5/2020 10:28,0,Dept 18,124602
19/5/2020 10:07,0,Dept 8,130203
20/5/2020 10:14,0,Dept 8,130203
22/5/2020 9:30,0,Dept 8,130203
21/5/2020 10:20,0,Dept 8,130203
20/5/2020 7:32,0,Dept 18,131956
20/5/2020 9:11,0,Dept 18,132102
22/5/2020 8:56,0,Dept 18,135702
19/5/2020 8:11,0,Dept 11,152902
21/5/2020 9:02,0,Dept 18,156438
21/5/2020 8:34,0,Dept 11,156899
20/5/2020 8:07,0,Dept 15,158802
19/5/2020 10:02,0,Dept 5,165105
22/5/2020 7:59,0,Dept 5,165105
22/5/2020 7:46,0,Dept 11,171875
19/5/2020 8:13,0,Dept 18,175935
19/5/2020 7:07,0,Dept 9,184969
18/5/2020 8:18,0,Dept 9,184969
20/5/2020 9:12,0,Dept 15,186203
19/5/2020 8:26,0,Dept 15,195602
21/5/2020 8:25,0,Dept 18,199703
19/5/2020 8:04,0,Dept 18,220458
20/5/2020 8:09,0,Dept 18,220458
18/5/2020 8:10,0,Dept 18,220458
22/5/2020 8:14,0,Dept 18,220458
21/5/2020 8:09,0,Dept 18,220458
20/5/2020 7:38,0,Dept 18,245202
19/5/2020 9:59,0,Dept 14,258704
19/5/2020 7:34,0,Dept 18,276602
22/5/2020 10:04,0,Dept 17,290202
20/5/2020 9:36,0,Dept 17,290202
21/5/2020 9:36,0,Dept 17,290202
22/5/2020 8:19,0,Dept 5,295302
20/5/2020 8:42,0,Dept 4,315002
18/5/2020 8:37,0,Dept 4,315002
18/5/2020 8:01,0,Dept 11,323003
20/5/2020 8:19,0,Dept 11,323302
18/5/2020 7:51,0,Dept 18,324602
20/5/2020 7:47,0,Dept 18,324602
19/5/2020 7:43,0,Dept 18,324602
18/5/2020 9:02,0,Dept 5,333803
22/5/2020 9:23,0,Dept 5,333803
20/5/2020 8:52,0,Dept 5,333803
24/5/2020 8:01,0,Dept 5,335103
22/5/2020 9:57,0,Dept 15,338102
22/5/2020 7:27,0,Dept 5,341404
21/5/2020 9:51,0,Dept 18,345403
22/5/2020 7:49,0,Dept 18,366902
24/5/2020 8:11,0,Dept 5,408202
18/5/2020 7:28,0,Dept 18,434002
22/5/2020 8:24,0,Dept 5,438704
21/5/2020 8:12,0,Dept 5,438704
19/5/2020 8:23,0,Dept 5,438704
20/5/2020 8:25,0,Dept 5,438704
18/5/2020 8:14,0,Dept 5,438704
19/5/2020 9:34,0,Dept 14,442502
22/5/2020 9:26,0,Dept 14,442502
21/5/2020 9:25,0,Dept 14,442502
19/5/2020 10:17,0,Dept 19,490402
19/5/2020 7:32,0,Dept 18,609302
22/5/2020 8:46,0,Dept 5,612502
18/5/2020 8:35,0,Dept 5,612502
20/5/2020 8:41,0,Dept 5,612502
22/5/2020 8:23,0,Dept 18,615802
20/5/2020 7:53,0,Dept 18,615802
19/5/2020 10:06,0,Dept 18,615802
20/5/2020 8:00,0,Dept 18,682056
22/5/2020 7:33,0,Dept 18,682056
18/5/2020 8:10,0,Dept 2,683717
22/5/2020 8:09,0,Dept 2,683717
19/5/2020 7:56,0,Dept 2,683717
20/5/2020 8:02,0,Dept 2,683717
21/5/2020 8:04,0,Dept 2,683717
22/5/2020 10:01,0,Dept 12,692944
22/5/2020 8:32,0,Dept 18,701261
19/5/2020 8:16,0,Dept 18,701261
20/5/2020 8:20,0,Dept 18,701261
21/5/2020 8:21,0,Dept 18,701261
18/5/2020 8:22,0,Dept 18,701261
20/5/2020 9:50,0,Dept 18,708202
19/5/2020 9:46,0,Dept 18,708202
18/5/2020 10:04,0,Dept 18,708202
22/5/2020 9:45,0,Dept 18,708202
21/5/2020 9:32,0,Dept 18,708202
18/5/2020 9:21,0,Dept 18,711755
18/5/2020 8:19,0,Dept 17,723271
22/5/2020 8:48,0,Dept 17,723271
19/5/2020 8:15,0,Dept 11,731770
18/5/2020 7:48,0,Dept 8,732856
20/5/2020 7:07,0,Dept 18,741102
19/5/2020 8:24,0,Dept 18,742821
18/5/2020 9:58,0,Dept 8,746802
22/5/2020 9:22,0,Dept 18,750289
21/5/2020 9:39,0,Dept 18,750289
20/5/2020 9:43,0,Dept 18,750289
19/5/2020 10:03,0,Dept 18,750289
18/5/2020 9:46,0,Dept 18,750289
20/5/2020 8:40,0,Dept 17,760933
22/5/2020 8:27,0,Dept 17,760933
19/5/2020 8:38,0,Dept 17,760933
18/5/2020 8:18,0,Dept 17,760933
18/5/2020 9:10,0,Dept 8,762984
18/5/2020 9:18,0,Dept 8,766602
18/5/2020 9:00,0,Dept 8,773007
20/5/2020 10:08,0,Dept 11,776302
22/5/2020 9:39,0,Dept 11,776302
24/5/2020 7:43,0,Dept 5,782409
22/5/2020 7:38,0,Dept 18,782545
