When,Profile,Dept,CardNum
1/6/2020 8:26,1,NA,1801
1/6/2020 10:05,1,NA,2901
1/6/2020 8:08,1,NA,3701
1/6/2020 7:42,0,Dept 2,4601
1/6/2020 8:37,2,NA,4601
1/6/2020 8:11,0,Dept 18,4701
1/6/2020 8:49,2,NA,4701
1/6/2020 7:18,1,NA,5201
1/6/2020 8:29,1,NA,6101
1/6/2020 8:45,1,NA,7501
1/6/2020 7:04,1,NA,8601
1/6/2020 7:18,1,NA,13001
1/6/2020 8:21,1,NA,13301
1/6/2020 9:55,1,NA,15301
1/6/2020 7:19,1,NA,16301
1/6/2020 8:45,1,NA,17901
1/6/2020 7:59,1,NA,18201
1/6/2020 8:27,1,NA,21901
1/6/2020 7:05,1,NA,22601
1/6/2020 8:00,1,NA,22801
1/6/2020 8:25,1,NA,23601
1/6/2020 8:11,1,NA,24801
1/6/2020 7:32,1,NA,26701
1/6/2020 8:59,1,NA,26901
1/6/2020 8:27,1,NA,27701
1/6/2020 8:43,1,NA,28601
1/6/2020 7:11,1,NA,28801
1/6/2020 8:14,1,NA,29101
1/6/2020 7:03,1,NA,29701
1/6/2020 8:55,1,NA,30801
1/6/2020 8:57,1,NA,31401
1/6/2020 9:16,1,NA,32301
1/6/2020 10:03,1,NA,34001
1/6/2020 9:11,1,NA,34101
1/6/2020 9:32,1,NA,35601
1/6/2020 7:57,1,NA,36501
1/6/2020 8:43,1,NA,37101
1/6/2020 7:07,1,NA,37801
1/6/2020 8:50,1,NA,38801
1/6/2020 9:32,1,NA,39001
1/6/2020 9:24,1,NA,2019002
1/6/2020 9:30,1,NA,2019003
1/6/2020 7:58,1,NA,2019007
1/6/2020 7:54,1,NA,2019009
1/6/2020 8:47,1,NA,2019013
1/6/2020 7:39,1,NA,2019014
1/6/2020 8:41,1,NA,2019017
1/6/2020 8:41,1,NA,2019018
1/6/2020 8:50,1,NA,2019022
1/6/2020 8:49,1,NA,2019026
1/6/2020 9:44,1,NA,2019029
1/6/2020 7:46,1,NA,2019046
1/6/2020 8:59,1,NA,2019047
1/6/2020 8:58,1,NA,2019060
1/6/2020 8:40,1,NA,2019061
1/6/2020 8:42,1,NA,2019077
1/6/2020 8:51,1,NA,2019079
1/6/2020 8:41,1,NA,2019080
1/6/2020 8:45,1,NA,2019082
1/6/2020 8:26,1,NA,2019085
1/6/2020 8:36,1,NA,2019086
1/6/2020 8:44,1,NA,2019090
1/6/2020 8:50,1,NA,2019094
1/6/2020 8:45,1,NA,2019099
1/6/2020 8:47,1,NA,2019100
1/6/2020 8:47,1,NA,2019101
1/6/2020 9:54,1,NA,2019102
1/6/2020 10:03,1,NA,2019112
1/6/2020 8:52,1,NA,2019117
1/6/2020 7:54,1,NA,2019124
1/6/2020 7:54,1,NA,2019126
1/6/2020 7:43,1,NA,2019127
1/6/2020 8:09,1,NA,2019132
1/6/2020 9:11,1,NA,2019133
1/6/2020 8:25,1,NA,2019134
1/6/2020 8:54,1,NA,2019138
