When,Profile,Dept,CardNum
7/5/2020 9:55,0,Dept 4,1701
10/5/2020 9:49,0,Dept 4,1701
6/5/2020 10:15,0,Dept 4,1701
9/5/2020 9:37,0,Dept 4,1701
8/5/2020 9:34,2,NA,3401
6/5/2020 8:38,1,NA,3501
4/5/2020 8:14,1,NA,3501
5/5/2020 8:19,1,NA,3501
8/5/2020 8:19,1,NA,3501
7/5/2020 7:56,2,NA,3501
8/5/2020 7:44,2,NA,3501
6/5/2020 7:49,2,NA,3501
10/5/2020 8:55,2,NA,3501
4/5/2020 9:41,0,Dept 5,3802
10/5/2020 8:46,0,Dept 5,3802
6/5/2020 8:41,0,Dept 5,3802
8/5/2020 10:06,1,NA,4801
4/5/2020 7:04,1,NA,5601
10/5/2020 7:06,1,NA,5601
5/5/2020 7:07,1,NA,5601
6/5/2020 7:04,1,NA,5701
4/5/2020 7:26,1,NA,5701
5/5/2020 7:04,1,NA,5701
8/5/2020 7:19,1,NA,5701
10/5/2020 7:27,1,NA,5701
9/5/2020 7:01,1,NA,5701
7/5/2020 9:25,1,NA,6001
10/5/2020 10:30,1,NA,6001
9/5/2020 10:21,0,Dept 4,6202
5/5/2020 10:27,0,Dept 4,6202
8/5/2020 10:21,0,Dept 4,6202
7/5/2020 10:22,0,Dept 4,6202
4/5/2020 8:24,2,NA,6601
8/5/2020 7:21,2,NA,6601
6/5/2020 8:23,2,NA,6601
10/5/2020 8:30,2,NA,6601
4/5/2020 7:53,1,NA,7401
7/5/2020 8:42,1,NA,7401
5/5/2020 8:19,1,NA,7401
8/5/2020 8:15,1,NA,7401
6/5/2020 8:11,1,NA,7401
9/5/2020 8:51,1,NA,7401
8/5/2020 7:53,0,Dept 4,7503
10/5/2020 9:17,0,Dept 4,8402
7/5/2020 9:51,0,Dept 4,8402
6/5/2020 9:04,0,Dept 4,8402
8/5/2020 9:10,0,Dept 4,8402
4/5/2020 9:11,0,Dept 4,8402
7/5/2020 7:14,2,NA,8901
5/5/2020 7:16,2,NA,8901
9/5/2020 8:18,2,NA,8901
4/5/2020 7:16,1,NA,9401
8/5/2020 10:19,1,NA,9401
5/5/2020 7:17,1,NA,9401
6/5/2020 7:08,1,NA,9401
10/5/2020 8:14,0,Dept 4,9403
5/5/2020 7:54,0,Dept 4,9403
9/5/2020 8:10,0,Dept 4,9403
4/5/2020 7:49,0,Dept 4,9403
8/5/2020 8:12,0,Dept 4,9403
7/5/2020 7:22,2,NA,9901
5/5/2020 8:24,2,NA,9901
9/5/2020 8:07,2,NA,9901
8/5/2020 9:38,0,Dept 16,10302
4/5/2020 7:21,1,NA,10501
8/5/2020 7:17,1,NA,10501
7/5/2020 7:11,1,NA,10501
9/5/2020 7:18,1,NA,10501
6/5/2020 7:17,1,NA,10501
5/5/2020 8:26,1,NA,11001
7/5/2020 8:58,1,NA,11001
9/5/2020 9:07,1,NA,11001
6/5/2020 8:32,1,NA,11001
8/5/2020 7:16,0,Dept 4,11403
5/5/2020 7:17,0,Dept 4,11403
4/5/2020 7:16,0,Dept 4,11403
4/5/2020 7:02,1,NA,12101
7/5/2020 7:10,1,NA,12101
5/5/2020 7:15,1,NA,12101
9/5/2020 7:01,1,NA,12101
6/5/2020 7:00,1,NA,12101
10/5/2020 7:00,1,NA,12101
4/5/2020 8:34,1,NA,12201
5/5/2020 9:59,1,NA,12201
8/5/2020 8:27,1,NA,12201
6/5/2020 8:27,1,NA,12201
5/5/2020 7:09,1,NA,12601
6/5/2020 7:08,1,NA,12601
8/5/2020 7:34,1,NA,12601
8/5/2020 7:58,0,Dept 2,13474
4/5/2020 7:35,0,Dept 2,13474
6/5/2020 8:14,1,NA,14801
4/5/2020 8:17,1,NA,14801
9/5/2020 8:44,1,NA,14801
7/5/2020 8:46,1,NA,14801
5/5/2020 8:09,1,NA,14801
5/5/2020 8:05,1,NA,15001
6/5/2020 8:10,1,NA,15001
8/5/2020 8:07,1,NA,15001
6/5/2020 8:31,0,Dept 4,16704
10/5/2020 9:23,0,Dept 4,16704
5/5/2020 8:32,0,Dept 4,16704
7/5/2020 8:38,0,Dept 4,16704
8/5/2020 8:34,0,Dept 4,16704
6/5/2020 9:42,1,NA,21501
6/5/2020 7:40,0,Dept 1,22402
6/5/2020 9:40,0,Dept 10,22602
5/5/2020 8:12,0,Dept 10,22602
8/5/2020 9:51,0,Dept 10,22602
5/5/2020 8:04,0,Dept 16,23002
8/5/2020 8:05,0,Dept 16,23002
4/5/2020 8:21,0,Dept 16,23002
4/5/2020 8:35,1,NA,23401
5/5/2020 8:30,1,NA,23401
8/5/2020 8:38,1,NA,23401
6/5/2020 8:34,1,NA,23401
4/5/2020 9:18,1,NA,23501
5/5/2020 9:37,1,NA,23501
4/5/2020 8:30,1,NA,24301
6/5/2020 8:59,1,NA,24301
5/5/2020 9:12,1,NA,24301
4/5/2020 9:43,1,NA,24701
4/5/2020 7:55,1,NA,25301
8/5/2020 9:35,1,NA,25301
5/5/2020 9:20,1,NA,25301
6/5/2020 9:29,1,NA,25301
6/5/2020 7:22,1,NA,25701
10/5/2020 9:09,1,NA,25701
6/5/2020 7:02,1,NA,25801
5/5/2020 7:04,1,NA,25801
8/5/2020 7:00,1,NA,25801
6/5/2020 9:01,1,NA,27401
5/5/2020 9:01,1,NA,27401
7/5/2020 9:49,0,Dept 5,29202
8/5/2020 8:13,0,Dept 5,29202
10/5/2020 8:11,0,Dept 5,29202
4/5/2020 8:32,1,NA,29501
7/5/2020 7:53,1,NA,29501
8/5/2020 8:24,1,NA,29501
6/5/2020 9:13,1,NA,29601
8/5/2020 9:56,1,NA,29601
4/5/2020 8:19,1,NA,29801
8/5/2020 8:12,1,NA,29801
5/5/2020 8:06,1,NA,29801
9/5/2020 7:56,1,NA,29801
10/5/2020 9:58,0,Dept 4,30202
5/5/2020 8:21,0,Dept 4,30202
9/5/2020 9:54,0,Dept 4,30202
7/5/2020 8:10,0,Dept 4,30202
9/5/2020 8:24,0,Dept 4,30702
5/5/2020 8:14,0,Dept 4,30702
5/5/2020 9:24,0,Dept 4,32202
9/5/2020 9:11,0,Dept 4,32202
7/5/2020 9:24,0,Dept 4,32202
4/5/2020 8:23,0,Dept 4,33004
9/5/2020 8:14,0,Dept 4,33004
8/5/2020 8:36,0,Dept 4,33004
5/5/2020 8:04,0,Dept 4,33004
10/5/2020 8:09,0,Dept 4,33004
6/5/2020 8:17,0,Dept 4,33004
5/5/2020 8:30,1,NA,33901
4/5/2020 8:18,1,NA,33901
8/5/2020 8:15,1,NA,33901
10/5/2020 7:31,1,NA,33901
8/5/2020 8:10,0,Dept 14,35002
4/5/2020 8:05,0,Dept 14,35002
5/5/2020 8:42,1,NA,36601
8/5/2020 9:02,1,NA,36601
4/5/2020 8:57,0,Dept 4,37802
5/5/2020 8:57,0,Dept 4,37802
9/5/2020 9:23,0,Dept 16,38502
10/5/2020 9:14,0,Dept 16,38502
7/5/2020 8:56,0,Dept 16,38502
6/5/2020 8:52,0,Dept 16,38502
8/5/2020 10:05,0,Dept 4,39002
5/5/2020 10:02,0,Dept 4,39002
6/5/2020 9:28,0,Dept 16,39502
6/5/2020 9:42,0,Dept 16,40202
4/5/2020 9:14,0,Dept 16,40202
5/5/2020 9:16,0,Dept 16,40202
6/5/2020 7:15,0,Dept 1,42702
6/5/2020 7:46,0,Dept 1,45503
5/5/2020 8:20,0,Dept 4,46701
4/5/2020 8:23,0,Dept 16,48402
6/5/2020 8:07,0,Dept 16,48402
5/5/2020 8:12,0,Dept 16,48402
7/5/2020 8:27,0,Dept 4,48503
9/5/2020 8:32,0,Dept 4,48503
4/5/2020 8:21,0,Dept 4,48503
7/5/2020 8:31,0,Dept 4,51702
6/5/2020 8:27,0,Dept 4,51702
5/5/2020 8:26,0,Dept 4,51702
10/5/2020 8:25,0,Dept 4,51702
9/5/2020 8:03,0,Dept 4,53801
8/5/2020 8:09,0,Dept 4,53801
4/5/2020 7:48,0,Dept 4,53801
5/5/2020 7:56,0,Dept 4,53801
7/5/2020 7:56,0,Dept 4,53801
8/5/2020 7:57,0,Dept 1,58302
6/5/2020 7:50,0,Dept 1,58302
6/5/2020 9:42,0,Dept 2,61602
8/5/2020 9:01,0,Dept 4,65402
4/5/2020 8:49,0,Dept 4,65402
4/5/2020 8:57,0,Dept 16,67802
8/5/2020 9:00,0,Dept 16,67802
4/5/2020 7:59,0,Dept 17,68202
8/5/2020 8:01,0,Dept 17,68202
5/5/2020 8:18,0,Dept 4,70403
6/5/2020 8:17,0,Dept 4,70403
8/5/2020 8:35,0,Dept 4,70403
7/5/2020 8:21,0,Dept 4,70403
4/5/2020 8:12,0,Dept 4,70403
4/5/2020 8:44,0,Dept 14,77003
10/5/2020 9:50,0,Dept 14,77003
7/5/2020 9:37,0,Dept 14,77003
6/5/2020 9:33,0,Dept 14,77003
6/5/2020 9:50,0,Dept 16,78204
8/5/2020 10:08,0,Dept 16,78204
4/5/2020 9:50,0,Dept 4,79102
5/5/2020 9:47,0,Dept 4,79102
8/5/2020 9:10,0,Dept 4,79102
4/5/2020 9:05,0,Dept 10,80402
6/5/2020 8:25,0,Dept 4,82003
5/5/2020 8:19,0,Dept 4,82003
4/5/2020 8:27,0,Dept 4,82003
8/5/2020 8:32,0,Dept 4,82502
6/5/2020 8:24,0,Dept 4,82502
5/5/2020 8:31,0,Dept 4,82502
4/5/2020 8:19,0,Dept 4,82502
10/5/2020 9:35,0,Dept 4,85501
