When,Profile,Dept,CardNum
1/6/2020 7:39,1,NA,5701
1/6/2020 7:59,1,NA,7401
1/6/2020 7:31,0,Dept 4,7503
1/6/2020 8:41,1,NA,7901
1/6/2020 8:59,0,Dept 4,8402
1/6/2020 10:15,1,NA,9401
1/6/2020 7:19,1,NA,10501
1/6/2020 7:12,0,Dept 4,11403
1/6/2020 7:10,1,NA,12101
1/6/2020 8:36,1,NA,12201
1/6/2020 7:38,0,Dept 2,13474
1/6/2020 8:12,1,NA,14801
1/6/2020 9:26,1,NA,21501
1/6/2020 8:43,1,NA,24301
1/6/2020 9:15,1,NA,25301
1/6/2020 7:10,1,NA,25701
1/6/2020 7:49,0,Dept 16,29802
1/6/2020 8:30,0,Dept 4,30202
1/6/2020 9:05,0,Dept 4,32202
1/6/2020 8:24,0,Dept 4,33004
1/6/2020 8:14,1,NA,33901
1/6/2020 8:56,1,NA,36601
1/6/2020 9:17,0,Dept 4,37802
1/6/2020 9:10,1,NA,38701
1/6/2020 9:29,0,Dept 4,39002
1/6/2020 7:50,0,Dept 3,45503
1/6/2020 8:01,0,Dept 16,48402
1/6/2020 7:57,0,Dept 4,53801
1/6/2020 9:10,0,Dept 13,58202
1/6/2020 9:34,0,Dept 16,62102
1/6/2020 9:08,0,Dept 16,67802
1/6/2020 8:44,0,Dept 4,70403
1/6/2020 9:41,0,Dept 14,77003
1/6/2020 8:13,0,Dept 4,82502
1/6/2020 8:27,0,Dept 4,85501
1/6/2020 7:45,0,Dept 3,86902
1/6/2020 9:45,0,Dept 4,91603
1/6/2020 9:44,0,Dept 4,96403
1/6/2020 7:58,0,Dept 16,96702
1/6/2020 8:28,0,Dept 4,98003
1/6/2020 7:55,0,Dept 4,99203
1/6/2020 8:00,0,Dept 4,99902
1/6/2020 8:12,0,Dept 16,105502
1/6/2020 8:02,0,Dept 16,105687
1/6/2020 8:07,0,Dept 16,110302
1/6/2020 8:20,0,Dept 2,113402
1/6/2020 9:44,0,Dept 16,115002
1/6/2020 8:01,0,Dept 4,115102
1/6/2020 9:21,0,Dept 4,115602
1/6/2020 8:35,0,Dept 4,115701
1/6/2020 8:11,0,Dept 4,118725
1/6/2020 7:17,0,Dept 3,119102
1/6/2020 8:41,0,Dept 4,119402
1/6/2020 8:28,0,Dept 4,120402
1/6/2020 10:06,0,Dept 16,128203
1/6/2020 8:50,0,Dept 4,128902
1/6/2020 7:35,0,Dept 3,132007
1/6/2020 7:21,0,Dept 4,136102
1/6/2020 9:17,0,Dept 4,137902
1/6/2020 9:11,0,Dept 4,143402
1/6/2020 10:03,0,Dept 4,149001
1/6/2020 8:34,0,Dept 4,149104
1/6/2020 8:33,0,Dept 4,156410
1/6/2020 8:51,0,Dept 16,159502
1/6/2020 8:46,0,Dept 4,160102
1/6/2020 8:12,0,Dept 4,160404
1/6/2020 7:57,0,Dept 4,161832
1/6/2020 8:53,0,Dept 4,165704
1/6/2020 7:43,0,Dept 4,166393
1/6/2020 8:53,0,Dept 16,169101
1/6/2020 9:05,0,Dept 13,170168
1/6/2020 8:58,0,Dept 4,172302
1/6/2020 8:00,0,Dept 4,174702
1/6/2020 7:20,0,Dept 3,180701
1/6/2020 8:37,0,Dept 4,183102
1/6/2020 8:35,0,Dept 4,183603
1/6/2020 7:29,0,Dept 4,195502
1/6/2020 9:09,0,Dept 4,196803
1/6/2020 7:59,0,Dept 2,199002
1/6/2020 8:21,1,NA,201600
1/6/2020 9:24,1,NA,201600
1/6/2020 7:42,1,NA,201601
1/6/2020 7:29,1,NA,201605
1/6/2020 9:45,1,NA,201608
1/6/2020 10:09,1,NA,201610
1/6/2020 8:50,1,NA,201611
1/6/2020 7:42,1,NA,201615
1/6/2020 9:36,1,NA,201615
1/6/2020 10:21,1,NA,201616
1/6/2020 7:55,1,NA,201617
1/6/2020 8:54,1,NA,201618
1/6/2020 8:33,1,NA,201621
1/6/2020 8:10,1,NA,201622
1/6/2020 9:14,1,NA,201624
1/6/2020 7:54,1,NA,201626
1/6/2020 10:05,1,NA,201629
1/6/2020 8:20,1,NA,201630
1/6/2020 8:00,1,NA,201631
1/6/2020 7:51,1,NA,201633
1/6/2020 7:01,1,NA,201634
1/6/2020 9:46,1,NA,201635
1/6/2020 7:16,1,NA,201637
1/6/2020 9:05,1,NA,201638
1/6/2020 8:27,1,NA,201638
1/6/2020 10:17,1,NA,201639
1/6/2020 10:01,1,NA,201641
1/6/2020 7:02,1,NA,201643
1/6/2020 7:20,1,NA,201643
1/6/2020 7:01,1,NA,201644
1/6/2020 8:35,1,NA,201650
1/6/2020 9:44,1,NA,201651
1/6/2020 7:58,1,NA,201653
1/6/2020 8:03,1,NA,201653
1/6/2020 7:28,1,NA,201654
1/6/2020 8:26,1,NA,201658
1/6/2020 8:24,1,NA,201659
1/6/2020 8:34,1,NA,201659
1/6/2020 8:35,1,NA,201661
1/6/2020 8:38,1,NA,201662
1/6/2020 8:52,1,NA,201664
1/6/2020 8:40,1,NA,201665
1/6/2020 8:30,1,NA,201667
1/6/2020 8:14,1,NA,201667
1/6/2020 7:46,1,NA,201668
1/6/2020 9:46,1,NA,201670
1/6/2020 8:10,1,NA,201671
1/6/2020 7:54,1,NA,201672
1/6/2020 8:26,1,NA,201673
1/6/2020 8:38,1,NA,201673
1/6/2020 9:28,1,NA,201673
1/6/2020 8:08,1,NA,201673
1/6/2020 8:41,1,NA,201674
1/6/2020 8:15,1,NA,201675
1/6/2020 7:20,1,NA,201676
1/6/2020 7:29,1,NA,201676
1/6/2020 8:19,1,NA,201676
1/6/2020 8:01,1,NA,201677
1/6/2020 8:11,1,NA,201677
1/6/2020 9:26,1,NA,201677
1/6/2020 7:53,1,NA,201678
1/6/2020 8:04,1,NA,201678
1/6/2020 8:51,1,NA,201679
1/6/2020 7:57,1,NA,201680
1/6/2020 8:30,1,NA,201681
1/6/2020 7:52,1,NA,201681
1/6/2020 7:14,1,NA,201682
1/6/2020 8:08,1,NA,201682
1/6/2020 7:43,1,NA,201683
1/6/2020 8:00,1,NA,201684
1/6/2020 9:18,1,NA,201685
1/6/2020 9:06,1,NA,201686
1/6/2020 10:05,1,NA,201686
1/6/2020 8:35,1,NA,201687
1/6/2020 8:05,1,NA,201687
1/6/2020 8:32,1,NA,201688
1/6/2020 7:45,1,NA,201688
1/6/2020 8:28,1,NA,201689
1/6/2020 8:36,1,NA,201690
1/6/2020 8:17,1,NA,201691
1/6/2020 8:21,1,NA,201693
1/6/2020 8:22,1,NA,201694
1/6/2020 8:21,1,NA,201694
1/6/2020 8:14,1,NA,201695
1/6/2020 8:01,1,NA,201696
1/6/2020 7:59,1,NA,201697
1/6/2020 8:18,1,NA,201697
1/6/2020 9:09,1,NA,201698
1/6/2020 7:45,1,NA,201698
1/6/2020 9:02,1,NA,201698
1/6/2020 8:12,1,NA,201699
1/6/2020 9:14,0,Dept 14,205002
1/6/2020 8:39,0,Dept 16,207903
1/6/2020 9:03,0,Dept 4,209502
1/6/2020 7:08,0,Dept 4,214302
1/6/2020 7:01,0,Dept 16,216501
1/6/2020 7:20,0,Dept 4,218303
1/6/2020 7:44,0,Dept 2,221302
1/6/2020 7:34,0,Dept 2,222303
1/6/2020 8:47,0,Dept 4,227101
1/6/2020 8:10,0,Dept 4,228304
1/6/2020 8:19,0,Dept 4,232802
1/6/2020 8:21,0,Dept 16,236802
1/6/2020 8:30,0,Dept 3,237002
1/6/2020 9:21,0,Dept 4,237901
1/6/2020 9:31,0,Dept 4,239102
1/6/2020 8:26,0,Dept 4,239201
1/6/2020 8:02,0,Dept 10,244602
1/6/2020 8:00,0,Dept 4,244603
1/6/2020 8:38,0,Dept 4,247402
1/6/2020 8:25,0,Dept 4,248102
1/6/2020 9:00,0,Dept 14,255302
1/6/2020 7:06,0,Dept 19,266002
1/6/2020 9:02,0,Dept 4,266203
1/6/2020 9:40,0,Dept 4,278402
1/6/2020 9:07,0,Dept 4,287302
1/6/2020 7:30,0,Dept 4,288104
1/6/2020 8:10,0,Dept 4,297901
1/6/2020 7:39,0,Dept 4,312202
1/6/2020 8:20,0,Dept 4,315002
1/6/2020 8:20,0,Dept 4,318603
1/6/2020 8:15,0,Dept 11,323302
1/6/2020 8:56,0,Dept 4,324202
